----------------------------------------------------------------------------------------------------------------------------------------
N:	2

BEST_FIT:	0.0000
AVG_FIT:	0.0001
WORST_FIT:	0.0003

STDEV:	0.0001

AVG_TIME:	0.1386

BEST[30]:	0.0000 0.0000 0.0001 0.0000 0.0000 0.0001 0.0000 0.0000 0.0000 0.0000 0.0001 0.0001 0.0001 0.0000 0.0001 0.0001 0.0000 0.0003 0.0001 0.0001 0.0000 0.0001 0.0002 0.0000 0.0001 0.0002 0.0000 0.0001 0.0002 0.0001 
----------------------------------------------------------------------------------------------------------------------------------------
N:	10

BEST_FIT:	0.0002
AVG_FIT:	0.0005
WORST_FIT:	0.0012

STDEV:	0.0002

AVG_TIME:	1.8757

BEST[30]:	0.0006 0.0009 0.0009 0.0004 0.0004 0.0002 0.0003 0.0004 0.0006 0.0003 0.0003 0.0006 0.0005 0.0005 0.0002 0.0007 0.0005 0.0007 0.0003 0.0003 0.0005 0.0005 0.0006 0.0007 0.0006 0.0005 0.0009 0.0005 0.0003 0.0012 
----------------------------------------------------------------------------------------------------------------------------------------
N:	30

BEST_FIT:	0.0009
AVG_FIT:	0.0017
WORST_FIT:	0.0028

STDEV:	0.0004

AVG_TIME:	17.4792

BEST[30]:	0.0018 0.0019 0.0016 0.0013 0.0021 0.0020 0.0010 0.0015 0.0013 0.0022 0.0022 0.0018 0.0011 0.0020 0.0028 0.0016 0.0022 0.0014 0.0018 0.0016 0.0017 0.0019 0.0012 0.0014 0.0021 0.0013 0.0013 0.0009 0.0020 0.0017 
