----------------------------------------------------------------------------------------------------------------------------------------
N:	2

BEST_FIT:	0.0000
AVG_FIT:	0.0001
WORST_FIT:	0.0002

STDEV:	0.0001

AVG_TIME:	0.1386

BEST[30]:	0.0000 0.0001 0.0000 0.0001 0.0000 0.0002 0.0000 0.0001 0.0001 0.0002 0.0001 0.0002 0.0000 0.0001 0.0001 0.0000 0.0002 0.0000 0.0001 0.0001 0.0001 0.0000 0.0000 0.0001 0.0000 0.0000 0.0000 0.0001 0.0001 0.0000 
----------------------------------------------------------------------------------------------------------------------------------------
N:	10

BEST_FIT:	0.0002
AVG_FIT:	0.0006
WORST_FIT:	0.0013

STDEV:	0.0003

AVG_TIME:	1.9424

BEST[30]:	0.0003 0.0005 0.0007 0.0008 0.0006 0.0012 0.0007 0.0013 0.0006 0.0007 0.0006 0.0002 0.0004 0.0006 0.0007 0.0006 0.0007 0.0008 0.0005 0.0005 0.0004 0.0003 0.0002 0.0002 0.0009 0.0006 0.0008 0.0002 0.0009 0.0008 
----------------------------------------------------------------------------------------------------------------------------------------
N:	30

BEST_FIT:	0.0008
AVG_FIT:	0.0017
WORST_FIT:	0.0027

STDEV:	0.0005

AVG_TIME:	17.8632

BEST[30]:	0.0021 0.0014 0.0012 0.0010 0.0010 0.0010 0.0017 0.0013 0.0011 0.0020 0.0018 0.0025 0.0019 0.0023 0.0018 0.0019 0.0018 0.0027 0.0014 0.0020 0.0016 0.0016 0.0024 0.0024 0.0017 0.0011 0.0020 0.0021 0.0014 0.0008 
