----------------------------------------------------------------------------------------------------------------------------------------
N:	2

BEST_FIT:	0.0000
AVG_FIT:	0.0000
WORST_FIT:	0.0000

STDEV:	0.0000

AVG_TIME:	1.6870

BEST[30]:	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
----------------------------------------------------------------------------------------------------------------------------------------
N:	10

BEST_FIT:	0.9950
AVG_FIT:	2.3282
WORST_FIT:	3.2267

STDEV:	0.6660

AVG_TIME:	9.5314

BEST[30]:	0.9950 3.2267 3.2267 1.9900 2.9901 0.9950 2.9952 0.9950 2.9851 3.2267 2.2317 2.2367 2.4733 2.2367 0.9950 2.9952 2.9901 2.9952 2.2317 2.4733 1.9951 1.9900 2.2367 1.9900 2.9851 2.2367 2.4733 1.9900 2.2317 2.2317 
----------------------------------------------------------------------------------------------------------------------------------------
N:	30

BEST_FIT:	17.1335
AVG_FIT:	23.4606
WORST_FIT:	26.7845

STDEV:	2.1677

AVG_TIME:	30.2534

BEST[30]:	22.0592 23.4932 20.1204 20.1287 26.7845 26.3404 19.3519 17.1335 23.3521 24.8331 22.3362 24.0979 24.5319 21.3058 23.0694 25.0410 21.3704 24.8874 24.5971 25.7793 22.6506 25.0651 23.3009 25.3060 25.3068 24.3010 24.7843 23.5584 23.8127 25.1190 
